Region,County,1968_D,1968_R,1968_Party,1968_Winner,1972_D,1972_R,1972_Party,1972_Winner,1976_D,1976_R,1976_Party,1976_Winner,1980_D,1980_R,1980_Party,1980_Winner,1984_D,1984_R,1984_Party,1984_Winner,1988_D,1988_R,1988_Party,1988_Winner,1992_D,1992_R,1992_Party,1992_Winner,1996_D,1996_R,1996_Party,1996_Winner,2000_D,2000_R,2000_Party,2000_Winner,2004_D,2004_R,2004_Party,2004_Winner,2008_D,2008_R,2008_Party,2008_Winner,2012_D,2012_R,2012_Party,2012_Winner
East,Adams,0.306689206,0.621106013,R,Nixon,0.245629564,0.682230582,R,Nixon,0.497254633,0.472203157,D,Carter,0.256072027,0.680067002,R,Reagan,0.272613849,0.717196922,R,Reagan,0.375932836,0.609141791,R,Bush,0.316030534,0.455179935,R,Bush,0.377113134,0.510619853,R,Dole,0.282669883,0.691596301,R,Bush,0.256485274,0.73161693,R,Bush,0.319473034,0.6632359,R,McCain,0.321301899,0.661589818,R,Romney
East,Asotin,0.495583364,0.424549135,D,Humphrey,0.442733564,0.503633218,R,Nixon,0.326659155,0.639536564,R,Ford,0.409070431,0.491815588,R,Reagan,0.433271614,0.552058111,R,Reagan,0.536027569,0.45018797,D,Dukakis,0.426408636,0.319246972,D,Clinton,0.45807687,0.391191355,D,Clinton,0.342642455,0.614777708,R,Bush,0.377760073,0.605508764,R,Bush,0.423210634,0.557361963,R,McCain,0.404302596,0.571053429,R,Romney
East,Benton,0.380629133,0.512929074,R,Nixon,0.323732947,0.610195742,R,Nixon,0.375026189,0.585585586,R,Ford,0.260306667,0.646837638,R,Reagan,0.295597349,0.692822371,R,Reagan,0.33662759,0.651762995,R,Bush,0.312896848,0.435021482,R,Bush,0.386279575,0.495585748,R,Dole,0.326402248,0.641814015,R,Bush,0.322175044,0.663068505,R,Bush,0.360549163,0.621922618,R,McCain,0.353762616,0.621689564,R,Romney
East,Chelan,0.393905978,0.52774231,R,Nixon,0.338195601,0.60127491,R,Nixon,0.407821528,0.561309651,R,Ford,0.326599496,0.569219144,R,Reagan,0.33238068,0.650995523,R,Reagan,0.40782457,0.578170944,R,Bush,0.334810019,0.456466178,R,Bush,0.360075408,0.517930457,R,Dole,0.317230456,0.64034393,R,Bush,0.356204926,0.628724997,R,Bush,0.431222229,0.550879279,R,McCain,0.406573643,0.570604651,R,Romney
West,Clallam,0.493887874,0.415975833,D,Humphrey,0.34930698,0.582509789,R,Nixon,0.449689982,0.496682258,R,Ford,0.360109437,0.516460352,R,Reagan,0.408721298,0.573204129,R,Reagan,0.487979293,0.491357375,R,Bush,0.377358491,0.340564294,D,Clinton,0.426378913,0.421195284,D,Clinton,0.427494415,0.504188384,R,Bush,0.463716477,0.513273133,R,Bush,0.505464836,0.472468133,D,Obama,0.488099616,0.484342983,D,Obama
West,Clark,0.518190403,0.424023025,D,Humphrey,0.464050948,0.491300859,R,Nixon,0.507834839,0.456495809,D,Carter,0.424335761,0.460950399,R,Reagan,0.458022012,0.528619879,R,Reagan,0.511084719,0.476144868,D,Dukakis,0.400315386,0.346418112,D,Clinton,0.463532334,0.415098022,D,Clinton,0.455697043,0.495920144,R,Bush,0.466665493,0.520103967,R,Bush,0.521743888,0.460769079,D,Obama,0.489410655,0.487151804,D,Obama
East,Columbia,0.350371747,0.567379182,R,Nixon,0.25625,0.694711538,R,Nixon,0.407571288,0.566863324,R,Ford,0.281399808,0.646692234,R,Reagan,0.32124105,0.670167064,R,Reagan,0.375514403,0.602880658,R,Bush,0.349007315,0.397596656,R,Bush,0.380051151,0.484910486,R,Dole,0.244423351,0.722828666,R,Bush,0.287138111,0.697674419,R,Bush,0.307899461,0.672800718,R,McCain,0.285524568,0.694112439,R,Romney
West,Cowlitz,0.518951456,0.421048544,D,Humphrey,0.450003548,0.512064438,R,Nixon,0.526578892,0.441139196,D,Carter,0.438562799,0.459303747,R,Reagan,0.496028158,0.479785585,D,Mondale,0.565255577,0.421886527,D,Dukakis,0.435923427,0.289611631,D,Clinton,0.538684171,0.334805311,D,Clinton,0.493290406,0.456495861,D,Gore,0.50829939,0.475996515,D,Kerry,0.543832497,0.432333238,D,Obama,0.509323173,0.464948454,D,Obama
East,Douglas,0.414703676,0.485221305,R,Nixon,0.323486165,0.603127924,R,Nixon,0.4447688,0.530943484,R,Ford,0.325295671,0.593753588,R,Reagan,0.322437616,0.664363786,R,Reagan,0.406618363,0.58159403,R,Bush,0.337708182,0.445329471,R,Bush,0.358169336,0.520091533,R,Dole,0.297316219,0.662154804,R,Bush,0.322016153,0.665569847,R,Bush,0.384509172,0.598198435,R,McCain,0.345736849,0.63077232,R,Romney
East,Ferry,0.429704398,0.438356164,R,Nixon,0.366732155,0.533726261,R,Nixon,0.48108747,0.458628842,D,Carter,0.381904762,0.527619048,R,Reagan,0.423076923,0.557466063,R,Reagan,0.480950025,0.480950025,T,,0.376613219,0.302307391,D,Clinton,0.424920128,0.387291445,D,Clinton,0.306780777,0.624094799,R,Bush,0.359473212,0.604310087,R,Bush,0.419023136,0.547272208,R,McCain,0.376162791,0.57994186,R,Romney
